driver,elo_rating,seasons
Max Verstappen,1747.3,11
Lewis Hamilton,1652.9,12
Lando Norris,1593.3,7
Charles Leclerc,1577.0,8
Oscar Piastri,1572.6,3
Carlos Sainz,1540.0,11
George Russell,1530.6,7
Kimi Antonelli,1508.4,1
Sergio Perez,1500.8,5
Isack Hadjar,1496.2,1
Oliver Bearman,1492.4,2
Liam Lawson,1492.0,1
Yuki Tsunoda,1485.8,1
Gabriel Bortoleto,1481.4,1
Franco Colapinto,1479.1,1
Jack Doohan,1477.0,1
Valtteri Bottas,1468.5,11
Pierre Gasly,1466.1,8
Fernando Alonso,1458.0,9
Lance Stroll,1454.5,9
Alex Albon,1451.8,6
Esteban Ocon,1450.5,8
Nico Hulkenberg,1374.8,5
Sebastian Vettel,1340.7,7
Daniel Ricciardo,1337.3,7
Kimi Raikkonen,1300.0,4
Nico Rosberg,1300.0,3
Felipe Massa,1300.0,2
Jenson Button,1300.0,1
Kevin Magnussen,1300.0,1
