driver,model_prob,bookmaker_prob,edge,direction
Max Verstappen,0.3277,0.22,0.1077,OVERWEIGHT
Lando Norris,0.2157,0.16,0.0557,OVERWEIGHT
George Russell,0.1442,0.28,-0.1358,UNDERWEIGHT
Charles Leclerc,0.1158,0.09,0.0258,OVERWEIGHT
Oscar Piastri,0.1112,0.1,0.0112,NEUTRAL
Lewis Hamilton,0.0432,0.05,-0.0068,NEUTRAL
Carlos Sainz,0.0099,0.02,-0.0101,NEUTRAL
Kimi Antonelli,0.0083,0.04,-0.0317,UNDERWEIGHT
Alex Albon,0.0033,0.01,-0.0067,NEUTRAL
Isack Hadjar,0.0029,0.01,-0.0071,NEUTRAL
Sergio Perez,0.0026,0.0,0.0026,NEUTRAL
Liam Lawson,0.0019,0.0,0.0019,NEUTRAL
Fernando Alonso,0.0019,0.01,-0.0081,NEUTRAL
Nico Hulkenberg,0.0019,0.0,0.0019,NEUTRAL
Arvid Lindblad,0.0017,0.0,0.0017,NEUTRAL
Pierre Gasly,0.0015,0.0,0.0015,NEUTRAL
Lance Stroll,0.0012,0.0,0.0012,NEUTRAL
Gabriel Bortoleto,0.0012,0.0,0.0012,NEUTRAL
Esteban Ocon,0.0012,0.0,0.0012,NEUTRAL
Oliver Bearman,0.001,0.0,0.001,NEUTRAL
Franco Colapinto,0.0008,0.0,0.0008,NEUTRAL
Valtteri Bottas,0.0008,0.0,0.0008,NEUTRAL
